list_name,list_date,ticker,form,base_score,filing_day_close,next_open,next_high,next_close,next_volume,gap_next_open_pct,next_day_max_run_pct,next_day_close_pct,next_day_vwap_pct,spy_close_pct,alpha_close_pct,catalyst_sign,exec_cost_pct,hit_2pct,hit_3pct,hit_5pct,hit_2pct_net,realistic_pnl_pct,realistic_pnl_net_pct,five_day_close,five_day_max_run_pct,five_day_close_pct,spy_5d_pct,market_cap
sec_clean_gappers,2026-03-05,CSCIF,6-K,15,1.6000,1.5900,1.5900,1.5700,1200,-0.6250,-0.6250,-1.8750,-3.5417,-1.3107,-0.5643,0,0.2000,0,0,0,0,-1.5000,-1.7000,1.3900,-0.6250,-13.1250,-2.2383,
sec_clean_gappers,2026-03-05,CYH,8-K,15,3.4100,3.3400,3.4000,3.3500,1289400,-2.0528,-0.2933,-1.7595,-1.6618,-1.3107,-0.4488,0,0.2000,0,0,0,0,0.2994,0.0994,3.2400,6.7449,-4.9853,-2.2383,
sec_clean_gappers,2026-03-05,RDVT,8-K,12,46.2800,45.0500,46.2800,44.9800,98900,-2.6577,0.0000,-2.8090,-2.5497,-1.3107,-1.4983,0,0.2000,0,0,0,0,-1.5000,-1.7000,40.5200,0.0000,-12.4460,-2.2383,
sec_clean_gappers,2026-03-05,SABR,8-K,12,1.6200,1.6600,1.6600,1.5900,20513000,2.4691,2.4691,-1.8519,-2.9835,-1.3107,-0.5411,0,0.2000,1,0,0,1,-1.5000,-1.7000,1.7000,6.7901,4.9383,-2.2383,
sec_clean_gappers,2026-03-05,UGRO,8-K,12,2.3400,2.3450,2.4400,2.4300,35500,0.2137,4.2735,3.8462,1.1396,-1.3107,5.1569,0,0.2000,1,1,0,1,-1.5000,-1.7000,3.1600,45.2992,35.0427,-2.2383,
sec_clean_gappers,2026-03-05,NLCP,8-K,12,15.9400,15.9400,15.9400,15.4600,95400,0.0000,0.0000,-3.0113,-2.3421,-1.3107,-1.7006,0,0.2000,0,0,0,0,-1.5000,-1.7000,15.6500,1.6311,-1.8193,-2.2383,
sec_clean_gappers,2026-03-05,FRSH,8-K,12,8.6200,8.7400,8.7980,8.6300,5081800,1.3921,2.0650,0.1160,-0.2011,-1.3107,1.4267,0,0.2000,1,0,0,0,-1.5000,-1.7000,7.9500,2.0650,-7.7726,-2.2383,
sec_clean_gappers,2026-03-05,BITF,6-K,12,2.2200,2.1200,2.1399,2.0400,28152669,-4.5045,-3.6081,-8.1081,-7.2087,-1.3107,-6.7974,0,0.2000,0,0,0,0,-1.5000,-1.7000,2.2200,5.1802,0.0000,-2.2383,
sec_clean_gappers,2026-03-05,TMSOF,6-K,12,11.5070,11.5070,11.5070,11.5070,0,0.0000,0.0000,0.0000,0.0000,-1.3107,1.3107,0,0.2000,0,0,0,0,0.0000,-0.2000,11.5070,0.0000,0.0000,-2.2383,
sec_clean_gappers,2026-03-05,TPICQ,8-K,12,0.0100,0.0120,0.0130,0.0080,1397900,20.0000,30.0000,-20.0000,-13.3333,-1.3107,-18.6893,0,0.2000,1,1,1,1,-1.5000,-1.7000,0.0080,30.0000,-20.0000,-2.2383,
sec_clean_gappers,2026-03-05,VIVK,8-K,12,2.0200,2.1000,2.3600,2.1800,34396,3.9604,16.8317,7.9208,7.5908,-1.3107,9.2315,0,0.2000,1,1,1,1,-1.5000,-1.7000,2.3200,17.8218,14.8515,-2.2383,
sec_clean_gappers,2026-03-05,WETO,6-K,12,0.4510,0.4510,0.4600,0.4460,14500,0.0000,1.9956,-1.1086,-0.3695,-1.3107,0.2021,0,0.2000,0,0,0,0,-1.5000,-1.7000,0.4830,15.7428,7.0953,-2.2383,
sec_clean_gappers,2026-03-05,AHRT-PA,8-K,12,21.8500,21.9000,21.9000,21.7500,18866,0.2288,0.2288,-0.4577,-0.6179,-1.3107,0.8530,0,0.2000,0,0,0,0,-1.5000,-1.7000,21.8650,1.7849,0.0686,-2.2383,
