list_name,list_date,ticker,form,base_score,filing_day_close,next_open,next_high,next_close,next_volume,gap_next_open_pct,next_day_max_run_pct,next_day_close_pct,next_day_vwap_pct,spy_close_pct,alpha_close_pct,catalyst_sign,exec_cost_pct,hit_2pct,hit_3pct,hit_5pct,hit_2pct_net,realistic_pnl_pct,realistic_pnl_net_pct,market_cap
sec_clean_gappers,2026-06-25,WWD,8-K,21,436.4400,435.7800,435.7800,431.6200,2569700,-0.1512,-0.1512,-1.1044,-1.4466,-0.7231,-0.3813,0,0.2000,0,0,0,0,-1.5000,-1.7000,
sec_clean_gappers,2026-06-25,LPAA,8-K,21,10.8400,10.8300,10.8300,10.8300,900,-0.0923,-0.0923,-0.0923,-0.0923,-0.7231,0.6309,0,0.2000,0,0,0,0,0.0000,-0.2000,
sec_clean_gappers,2026-06-25,JFB,8-K,21,4.8500,4.8100,4.9830,4.7000,357000,-0.8247,2.7423,-3.0928,-1.5258,-0.7231,-2.3696,0,0.2000,1,0,0,1,-1.5000,-1.7000,
sec_clean_gappers,2026-06-25,ISPR,8-K,20,1.6200,1.6600,1.8200,1.5000,1798700,2.4691,12.3457,-7.4074,-0.8230,-0.7231,-6.6843,0,0.2000,1,1,1,1,-1.5000,-1.7000,
sec_clean_gappers,2026-06-25,RKTO,8-K,20,0.8750,0.8650,0.9550,0.9510,955000,-1.1429,9.1429,8.6857,4.8000,-0.7231,9.4088,0,0.2000,1,1,1,1,-1.5000,-1.7000,
sec_clean_gappers,2026-06-25,COYA,8-K,20,5.1300,5.2000,5.5000,5.5000,249100,1.3645,7.2125,7.2125,3.9636,-0.7231,7.9356,0,0.2000,1,1,1,1,-1.5000,-1.7000,
sec_clean_gappers,2026-06-25,HRTX,8-K,20,0.4100,0.4100,0.4300,0.4300,6428200,0.0000,4.8781,4.8781,3.2520,-0.7231,5.6012,0,0.2000,1,1,0,1,2.0000,1.8000,
sec_clean_gappers,2026-06-25,CLBK,8-K,20,9.1273,9.1727,9.5409,9.4818,1966800,0.4980,4.5319,3.8845,2.9714,-0.7231,4.6076,0,0.2000,1,1,0,1,2.0000,1.8000,
sec_clean_gappers,2026-06-25,UPXI,8-K,20,0.7600,0.7600,0.8400,0.8330,2847900,0.0000,10.5263,9.6053,6.2281,-0.7231,10.3284,0,0.2000,1,1,1,1,2.0000,1.8000,
sec_clean_gappers,2026-06-25,DVN,8-K,20,42.6000,42.5800,42.9300,42.2100,14975800,-0.0469,0.7747,-0.9155,-0.6416,-0.7231,-0.1924,0,0.2000,0,0,0,0,-1.5000,-1.7000,
sec_clean_gappers,2026-06-25,FULC,8-K,20,3.6100,3.6100,3.8300,3.8000,4934300,0.0000,6.0942,5.2632,3.2318,-0.7231,5.9863,0,0.2000,1,1,1,1,-1.5000,-1.7000,
sec_clean_gappers,2026-06-25,DCBG,8-K,20,26.6800,26.4650,26.4650,26.4650,600,-0.8058,-0.8058,-0.8058,-0.8058,-0.7231,-0.0827,0,0.2000,0,0,0,0,0.0000,-0.2000,
sec_clean_gappers,2026-06-25,AHR,8-K,20,50.9200,51.1200,51.8400,51.0000,27921000,0.3928,1.8068,0.1571,0.2422,-0.7231,0.8803,0,0.2000,0,0,0,0,-1.5000,-1.7000,9813419923
sec_clean_gappers,2026-06-25,CAPN,8-K,20,11.0300,11.0300,11.0300,11.0300,0,0.0000,0.0000,0.0000,0.0000,-0.7231,0.7231,0,0.2000,0,0,0,0,0.0000,-0.2000,
sec_clean_gappers,2026-06-25,FSHP,8-K,20,11.0300,11.0600,11.0600,11.0600,100,0.2720,0.2720,0.2720,0.2720,-0.7231,0.9951,0,0.2000,0,0,0,0,0.0000,-0.2000,
sec_clean_value,2026-06-25,AROC,8-K,16,41.4000,41.5000,42.2300,41.9500,7553300,0.2415,2.0048,1.3285,0.8696,-0.7231,2.0516,0,0.2000,1,0,0,0,1.0843,0.8843,7255830074
sec_clean_value,2026-06-25,AVTX,4,9,18.0000,18.2900,18.4600,18.2000,8576600,1.6111,2.5556,1.1111,0.5370,-0.7231,1.8343,0,0.5000,1,0,0,1,-1.5000,-2.0000,946180296
sec_clean_value,2026-06-25,AHR,8-K,20,50.9200,51.1200,51.8400,51.0000,27921000,0.3928,1.8068,0.1571,0.2422,-0.7231,0.8803,0,0.2000,0,0,0,0,-1.5000,-1.7000,9813419923
sec_clean_value,2026-06-25,ARVN,8-K,19,8.0300,8.1300,8.2600,8.0000,3028600,1.2453,2.8643,-0.3736,0.0000,-0.7231,0.3495,0,0.5000,1,0,0,1,-1.5000,-2.0000,518105219
sec_clean_moat_core,2026-06-25,AROC,8-K,16,41.4000,41.5000,42.2300,41.9500,7553300,0.2415,2.0048,1.3285,0.8696,-0.7231,2.0516,0,0.2000,1,0,0,0,1.0843,0.8843,7255830074
sec_clean_moat_core,2026-06-25,AHR,8-K,20,50.9200,51.1200,51.8400,51.0000,27921000,0.3928,1.8068,0.1571,0.2422,-0.7231,0.8803,0,0.2000,0,0,0,0,-1.5000,-1.7000,9813419923
sec_top_gappers,2026-06-25,EZRA,8-K,24,3.3200,3.3400,3.4300,3.4300,19700,0.6024,3.3133,3.3133,2.2088,-0.7231,4.0364,0,0.2000,1,1,0,1,2.0000,1.8000,
sec_top_gappers,2026-06-25,FCUV,8-K,24,4.7600,3.8000,4.4700,4.3700,486000,-20.1681,-6.0924,-8.1933,-11.4846,-0.7231,-7.4701,0,0.2000,0,0,0,0,2.0000,1.8000,
sec_top_gappers,2026-06-25,TOPP,8-K,24,1.1600,1.1100,1.1900,1.1600,32700,-4.3103,2.5862,0.0000,-1.4368,-0.7231,0.7231,0,0.2000,1,0,0,1,-1.5000,-1.7000,
sec_top_gappers,2026-06-25,ON,8-K,24,118.7400,98.2900,98.4800,90.6500,44223500,-17.2225,-17.0625,-23.6567,-21.8545,-0.7231,-22.9336,0,0.2000,0,0,0,0,-1.5000,-1.7000,
